GeNeG_resource,GeNeG_resource_alias,other_GeNeG_resource_w_alias_len,Matching node,Matched_alias
http://geneg.net/resource/Nzzasnzzch/International/Neocons-Die-Wegbereiter-Des-Irakkriegs-Kehren-Zurueck-Ld_1482868_Reduced=true,nzzas.nzz.ch/international/neocons-die-wegbereiter-des-irakkriegs-kehren-zurueck-ld.1482868?reduced=true,"[('http://geneg.net/resource/https://nzzas.nzz.ch/international/neocons-die-wegbereiter-des-irakkriegs-kehren-zurueck-ld.1482868?reduced=true', 1)]",http://geneg.net/resource/https://nzzas.nzz.ch/international/neocons-die-wegbereiter-des-irakkriegs-kehren-zurueck-ld.1482868?reduced=true,"('https://nzzas.nzz.ch/international/neocons-die-wegbereiter-des-irakkriegs-kehren-zurueck-ld.1482868?reduced=true', 97)"
http://geneg.net/resource/Rechtsruck_Im_21._Jahrhundert,Rechtsruck im 21. Jahrhundert,"[('http://geneg.net/resource/Rechtsruck_Im_21jahrhundert', 1)]",http://geneg.net/resource/Rechtsruck_Im_21jahrhundert,"('Rechtsruck im 21.Jahrhundert', 100)"
http://geneg.net/resource/Ks,K.s,"[(""http://geneg.net/resource/K_'S"", 1)]",http://geneg.net/resource/K_'S,"(""K.'s"", 100)"
http://geneg.net/resource/Es,E.s,"[(""http://geneg.net/resource/E_'S"", 1)]",http://geneg.net/resource/E_'S,"(""E.'s"", 100)"
http://geneg.net/resource/Cdu-Vorsitzenden,CDU-Vorsitzende,"[('http://geneg.net/resource/Cdu-Vorsitzender', 1)]",http://geneg.net/resource/Cdu-Vorsitzender,"('CDU-Vorsitzender', 97)"
http://geneg.net/resource/2sirte_Konferenz,2.Sirte Konferenz,"[('http://geneg.net/resource/2.Sirte-Konferenz', 1)]",http://geneg.net/resource/2.Sirte-Konferenz,"('2.Sirte-Konferenz', 100)"
http://geneg.net/resource/Ndr1_Welle_Nord,NDR1 Welle Nord,"[('http://geneg.net/resource/NDR_1_Welle_Nord', 1)]",http://geneg.net/resource/NDR_1_Welle_Nord,"('NDR\xa01 Welle Nord', 100)"
http://geneg.net/resource/Fayez_Al-Serraj,Fayez al-Serraj,"[('http://geneg.net/resource/Serraj', 1)]",http://geneg.net/resource/Serraj,"('Fayez al-)Serraj', 100)"
http://geneg.net/resource/https://deutsch.rt.com/europa/98727-tuerkisch-griechische-grenze-traenengas-gegen/?utm_source=browser&utm_medium=push_notifications&utm_campaign=push_notifications,https://deutsch.rt.com/europa/98727-tuerkisch-griechische-grenze-traenengas-gegen/?utm_source=browser&utm_medium=push_notifications&utm_campaign=push_notifications,"[('http://geneg.net/resource/Deutschrtcom/Europa/98727-Tuerkisch-Griechische-Grenze-Traenengas-Gegen/_Utm_source=browser&utm_medium=push_notifications&utm_campaign=push_notifications', 1)]",http://geneg.net/resource/Deutschrtcom/Europa/98727-Tuerkisch-Griechische-Grenze-Traenengas-Gegen/_Utm_source=browser&utm_medium=push_notifications&utm_campaign=push_notifications,"('deutsch.rt.com/europa/98727-tuerkisch-griechische-grenze-traenengas-gegen/?utm_source=browser&utm_medium=push_notifications&utm_campaign=push_notifications', 98)"
http://geneg.net/resource/Front_Der_Linken_Und_Arbeiterinnen,Front der Linken und Arbeiter*innen,"[('http://geneg.net/resource/Front_Der_Linken_Und_Der_Arbeiterinnen', 1)]",http://geneg.net/resource/Front_Der_Linken_Und_Der_Arbeiterinnen,"('Front der Linken und der Arbeiter*innen', 95)"
http://geneg.net/resource/Is-Rückkehrerin,IS-Rückkehrern,"[('http://geneg.net/resource/Is-Rückkehrer', 1)]",http://geneg.net/resource/Is-Rückkehrer,"('IS-Rückkehrer', 96)"
http://geneg.net/resource/Fpö-Vorsitzenden,FPÖ-Vorsitzenden,"[('http://geneg.net/resource/FDP-Vorsitzende', 2)]",http://geneg.net/resource/FDP-Vorsitzende,"('FDP-Vorsitzenden', 97)"
http://geneg.net/resource/Euaußengrenze,EU­Außengrenze,"[('http://geneg.net/resource/Eu-Außengrenzen', 1)]",http://geneg.net/resource/Eu-Außengrenzen,"('EU-Außengrenzen', 96)"
http://geneg.net/resource/Deutschlandweites,deutschlandweites,"[('http://geneg.net/resource/Deutschlandweit', 2)]",http://geneg.net/resource/Deutschlandweit,"('deutschlandweite', 97)"
http://geneg.net/resource/Eugh-Urteile,EuGH-Urteil,"[('http://geneg.net/resource/Eugh-Urteils', 1)]",http://geneg.net/resource/Eugh-Urteils,"('EuGH-Urteils', 96)"
http://geneg.net/resource/Spiegel-Redakteuren,Spiegel“-Redakteuren,"[('http://geneg.net/resource/Spiegel-Redakteur', 2)]",http://geneg.net/resource/Spiegel-Redakteur,"('Spiegel“-Redakteure', 97)"
http://geneg.net/resource/Antikapitalistsichen_Linken,Antikapitalistsichen Linken,"[('http://geneg.net/resource/Antikapitalistische_Linke', 2)]",http://geneg.net/resource/Antikapitalistische_Linke,"('Antikapitalistischen Linken', 96)"
http://geneg.net/resource/Mohammeds,Mohammeds,"[('http://geneg.net/resource/Mohamed_S', 2)]",http://geneg.net/resource/Mohamed_S,"('Mohammed S.', 95)"
http://geneg.net/resource/Nordstrem_2,nordstrem 2,"[('http://geneg.net/resource/Nord_Stream-2', 4)]",http://geneg.net/resource/Nord_Stream-2,"('Nordstream 2', 96)"
http://geneg.net/resource/Nataschasuederhappelmann,@natascha.sueder.happelmann,"[('http://geneg.net/resource/Natascha_Süder_Happelmann', 1)]",http://geneg.net/resource/Natascha_Süder_Happelmann,"('Natascha Süder Happelmann', 96)"
http://geneg.net/resource/Europafeindlichen,europafeindliche,"[('http://geneg.net/resource/Europafeindlicher', 1)]",http://geneg.net/resource/Europafeindlicher,"('europafeindlicher', 97)"
http://geneg.net/resource/Deutschtest,Deutschtest,"[('http://geneg.net/resource/Deutsch-Tests', 2)]",http://geneg.net/resource/Deutsch-Tests,"('Deutsch-Test', 96)"
http://geneg.net/resource/Vera_Lengsfeldde,Vera Lengsfeld.de,"[('http://geneg.net/resource/vera-lengsfeld.de', 1)]",http://geneg.net/resource/vera-lengsfeld.de,"('vera-lengsfeld.de', 100)"
http://geneg.net/resource/Us-Botschaften,US-Botschaften,"[('http://geneg.net/resource/Us-Botschafter', 4)]",http://geneg.net/resource/Us-Botschafter,"('US-Botschaftern', 97)"
