GeNeG_resource,other_GeNeG_resource_w_alias_len,Matching node,Matched_label
http://geneg.net/resource/Kuiper-Gürtel,"[('http://geneg.net/resource/Kuiper-Gürtels', 1)]",http://geneg.net/resource/Kuiper-Gürtels,Kuiper-Gürtels
http://geneg.net/resource/Linken-Fraktionschef,"[('http://geneg.net/resource/Linke-Fraktionschef', 1)]",http://geneg.net/resource/Linke-Fraktionschef,Linke-Fraktionschef
http://geneg.net/resource/Youtube-Video,"[('http://geneg.net/resource/Youtube_Video', 1)]",http://geneg.net/resource/Youtube_Video,Youtube_Video
http://geneg.net/resource/Us-Sonderbeauftragte,"[('http://geneg.net/resource/Us-Sonderbeauftragten', 1)]",http://geneg.net/resource/Us-Sonderbeauftragten,Us-Sonderbeauftragten
http://geneg.net/resource/Deutschen_Arbeitgeberverbandes,"[('http://geneg.net/resource/Deutschen_Arbeitgeberverband', 1)]",http://geneg.net/resource/Deutschen_Arbeitgeberverband,Deutschen_Arbeitgeberverband
http://geneg.net/resource/Us-Botschaftern,"[('http://geneg.net/resource/Us-Botschafter', 1)]",http://geneg.net/resource/Us-Botschafter,Us-Botschafter
http://geneg.net/resource/Nicole_Maesta,"[('http://geneg.net/resource/Nicole_Maestas', 1)]",http://geneg.net/resource/Nicole_Maestas,Nicole_Maestas
http://geneg.net/resource/Gerhard_Gertischke,"[('http://geneg.net/resource/Gerhard_Gertitschke', 1)]",http://geneg.net/resource/Gerhard_Gertitschke,Gerhard_Gertitschke
http://geneg.net/resource/Eu-Europäern,"[('http://geneg.net/resource/Eu-Europäer', 1)]",http://geneg.net/resource/Eu-Europäer,Eu-Europäer
http://geneg.net/resource/Sea_Watch-Kapitänin,"[('http://geneg.net/resource/Sea-Watch-Kapitänin', 3)]",http://geneg.net/resource/Sea-Watch-Kapitänin,Sea-Watch-Kapitänin
http://geneg.net/resource/Sciences_Po_Universität,"[('http://geneg.net/resource/Universität_Sciences_Po', 1)]",http://geneg.net/resource/Universität_Sciences_Po,Universität_Sciences_Po
