GeNeG_resource,GeNeG_resource_alias,Wikidata_resource,Wikidata_alias,Wikidata_label
http://geneg.net/resource/Bka,@bka,https://www.wikidata.org/wiki/Q56030,"('BKA', 100)",Bundeskriminalamt
http://geneg.net/resource/Eu-Gipfeln,EU-Gipfeln,https://www.wikidata.org/wiki/Q8886,"('EU-Gipfel', 95)",Europäischer_Rat
http://geneg.net/resource/Universidad_Autónoma_Madrid,Universidad Autónoma Madrid,https://www.wikidata.org/wiki/Q788091,"('Universidad Autónoma de Madrid', 95)",Autonome_Universität_Madrid
http://geneg.net/resource/J_Fischers,J. Fischers,https://www.wikidata.org/wiki/Q1692523,"('J. Fischer', 95)",Johann_Baptist_Fischer
http://geneg.net/resource/Sudentenlandes,Sudentenlandes,https://www.wikidata.org/wiki/Q8351649,"('Sudetenlandes', 96)",Sudetenkrise
http://geneg.net/resource/Boycott,Boycott,https://www.wikidata.org/wiki/Q179366,"('boycott', 100)",Boykott
http://geneg.net/resource/Kemmerichs,Kemmerichs,https://www.wikidata.org/wiki/Q84840059,"('Kemmerich', 95)",Regierungskrise_in_Thüringen_2020
http://geneg.net/resource/Afrikanisch,Afrikanisch,https://www.wikidata.org/wiki/Q203548,"('Afrikanische', 96)",Afrikanische_Platte
http://geneg.net/resource/Guardiolas,Guardiolas,https://www.wikidata.org/wiki/Q3360159,"('Guardiola', 95)",Gedeón_Guardiola
http://geneg.net/resource/Baby_Sommer,Baby“ Sommer,https://www.wikidata.org/wiki/Q317224,"('Baby Sommer', 100)",Günter_Sommer
http://geneg.net/resource/Hartziv-Gesetze,HartzIV“-Gesetze,https://www.wikidata.org/wiki/Q566910,"('Hartz-IV-Gesetze', 97)",Hartz-Konzept
http://geneg.net/resource/Europarlamentarier,Europarlamentarier,https://www.wikidata.org/wiki/Q27169,"('Europaparlamentarier', 95)",Mitglied_Des_Europäischen_Parlaments
http://geneg.net/resource/Bundestags-Debatte,Bundestags-Debatte,https://www.wikidata.org/wiki/Q154797,"('Bundestagsdebatte', 97)",Deutscher_Bundestag
http://geneg.net/resource/Afd,AfD.,https://www.wikidata.org/wiki/Q6721203,"('AfD', 100)",Alternative_Für_Deutschland
http://geneg.net/resource/Sebastiankurz,@sebastiankurz,https://www.wikidata.org/wiki/Q2262885,"('Sebastian\xa0Kurz', 100)",Sebastian_Kurz
http://geneg.net/resource/Allensbach-Instituts,Allensbach-Instituts,https://www.wikidata.org/wiki/Q876680,"('Allensbach-Institut', 97)",Institut_Für_Demoskopie_Allensbach
http://geneg.net/resource/Pants,Pants,https://www.wikidata.org/wiki/Q39908,"('pants', 100)",Hose
http://geneg.net/resource/Cristina_Kirchners,Cristina Kirchners,https://www.wikidata.org/wiki/Q40649,"('Cristina Kirchner', 97)",Cristina_Fernández_De_Kirchner
