GeNeG_resource,Wikidata_resource,Matched_label
http://geneg.net/resource/Deutsch-Unterricht,https://www.wikidata.org/wiki/Q1206520,Deutschunterricht
http://geneg.net/resource/Emir_Kusturicas,https://www.wikidata.org/wiki/Q94882,Emir_Kusturica
http://geneg.net/resource/Annette_Wiedmann-Mauz,https://www.wikidata.org/wiki/Q566722,Annette_Widmann-Mauz
http://geneg.net/resource/Deutschlands,https://www.wikidata.org/wiki/Q183,Deutschland
http://geneg.net/resource/Clemens_Tönnis,https://www.wikidata.org/wiki/Q1100117,Clemens_Tönnies
http://geneg.net/resource/Mike_Pompeos,https://www.wikidata.org/wiki/Q473239,Mike_Pompeo
http://geneg.net/resource/Barbara_john,https://www.wikidata.org/wiki/Q807486,Barbara_John
http://geneg.net/resource/Uno-Resolution,https://www.wikidata.org/wiki/Q1190392,UN-Resolution
http://geneg.net/resource/John_Steinbecks,https://www.wikidata.org/wiki/Q39212,John_Steinbeck
http://geneg.net/resource/Tal_Abyad,https://www.wikidata.org/wiki/Q1896205,Tall_Abyad
http://geneg.net/resource/Jerusalems,https://www.wikidata.org/wiki/Q1218,Jerusalem
http://geneg.net/resource/Brenton_Tarrants,https://www.wikidata.org/wiki/Q62067238,Brenton_Tarrant
http://geneg.net/resource/Bosnien-Krieg,https://www.wikidata.org/wiki/Q181533,Bosnienkrieg
http://geneg.net/resource/Steffen_Kotre,https://www.wikidata.org/wiki/Q40846824,Steffen_Kotré
http://geneg.net/resource/Bruno_Lemaire,https://www.wikidata.org/wiki/Q993472,Bruno_Le_Maire
http://geneg.net/resource/Alexander_Hofmann,https://www.wikidata.org/wiki/Q15782242,Alexander_Hoffmann
http://geneg.net/resource/Mehringdamms,https://www.wikidata.org/wiki/Q555457,Mehringdamm
http://geneg.net/resource/Institut_Für_Arbeitsmarkt_Und_Berufsforschung,https://www.wikidata.org/wiki/Q1664805,Institut_Für_Arbeitsmarkt-_Und_Berufsforschung
http://geneg.net/resource/Potsdam-Institus_Für_Klimafolgenforschung,https://www.wikidata.org/wiki/Q251061,Potsdam-Institut_Für_Klimafolgenforschung
http://geneg.net/resource/Versaille,https://www.wikidata.org/wiki/Q621,Versailles
