GeNeG_resource,GeNeG_resource_alias,Wikidata_resource_w_alias_len,Matching node,Matched_alias
http://geneg.net/resource/Australian,Australian,"[('https://www.wikidata.org/wiki/Q3960', 6), ('https://www.wikidata.org/wiki/Q408', 9)]",https://www.wikidata.org/wiki/Q408,"('Australia', 95)"
http://geneg.net/resource/Pro-Europäischen,pro-europäischen,"[('https://www.wikidata.org/wiki/Q1048268', 2), ('https://www.wikidata.org/wiki/Q3781399', 3)]",https://www.wikidata.org/wiki/Q3781399,"('pro-europäische', 97)"
http://geneg.net/resource/Europa-Wahlen,Europa-Wahlen,"[('https://www.wikidata.org/wiki/Q1331918', 4), ('https://www.wikidata.org/wiki/Q16999180', 4)]",https://www.wikidata.org/wiki/Q1331918,"('Europawahlen', 96)"
http://geneg.net/resource/W,W.,"[('https://www.wikidata.org/wiki/Q25236', 4), ('https://www.wikidata.org/wiki/Q23444', 5), ('https://www.wikidata.org/wiki/Q743', 7), ('https://www.wikidata.org/wiki/Q679', 5), ('https://www.wikidata.org/wiki/Q1741', 6)]",https://www.wikidata.org/wiki/Q743,"('W', 100)"
http://geneg.net/resource/Mad,mad,"[('https://www.wikidata.org/wiki/Q480220', 11), ('https://www.wikidata.org/wiki/Q1019', 6)]",https://www.wikidata.org/wiki/Q480220,"('MAD', 100)"
http://geneg.net/resource/Libya,libya,"[('https://www.wikidata.org/wiki/Q2370577', 1), ('https://www.wikidata.org/wiki/Q1016', 7)]",https://www.wikidata.org/wiki/Q1016,"('Libya', 100)"
http://geneg.net/resource/Nato,NATO-,"[('https://www.wikidata.org/wiki/Q105155601', 1), ('https://www.wikidata.org/wiki/Q441753', 3)]",https://www.wikidata.org/wiki/Q441753,"('Nato', 100)"
http://geneg.net/resource/Greta,GRETA,"[('https://www.wikidata.org/wiki/Q1510769', 2), ('https://www.wikidata.org/wiki/Q56434717', 5), ('https://www.wikidata.org/wiki/Q84960', 1), ('https://www.wikidata.org/wiki/Q55392278', 3), ('https://www.wikidata.org/wiki/Q16639594', 3), ('https://www.wikidata.org/wiki/Q98078619', 3)]",https://www.wikidata.org/wiki/Q56434717,"('Greta', 100)"
http://geneg.net/resource/Griechenland|s,Griechenland|s,"[('https://www.wikidata.org/wiki/Q209065', 3), ('https://www.wikidata.org/wiki/Q134925', 5)]",https://www.wikidata.org/wiki/Q134925,"('Griechenlands', 96)"
http://geneg.net/resource/RTS,rts,"[('https://www.wikidata.org/wiki/Q3416973', 3), ('https://www.wikidata.org/wiki/Q366507', 6)]",https://www.wikidata.org/wiki/Q366507,"('RTS', 100)"
http://geneg.net/resource/Ernst,Ernst',"[('https://www.wikidata.org/wiki/Q657591', 3), ('https://www.wikidata.org/wiki/Q63163', 4), ('https://www.wikidata.org/wiki/Q567608', 1), ('https://www.wikidata.org/wiki/Q682736', 3), ('https://www.wikidata.org/wiki/Q70183', 3), ('https://www.wikidata.org/wiki/Q154842', 9), ('https://www.wikidata.org/wiki/Q782868', 5), ('https://www.wikidata.org/wiki/Q12891156', 5), ('https://www.wikidata.org/wiki/Q1357258', 1)]",https://www.wikidata.org/wiki/Q154842,"('Ernst', 100)"
http://geneg.net/resource/Fsa,FSA-,"[('https://www.wikidata.org/wiki/Q5417893', 5), ('https://www.wikidata.org/wiki/Q858819', 7)]",https://www.wikidata.org/wiki/Q858819,"('FSA', 100)"
http://geneg.net/resource/Br,<br,"[('https://www.wikidata.org/wiki/Q278637', 5), ('https://www.wikidata.org/wiki/Q155', 9)]",https://www.wikidata.org/wiki/Q155,"('BR', 100)"
http://geneg.net/resource/Usa,USA-,"[('https://www.wikidata.org/wiki/Q30', 36), ('https://www.wikidata.org/wiki/Q9212', 12)]",https://www.wikidata.org/wiki/Q30,"('USA', 100)"
http://geneg.net/resource/Sophia,SOPHIA,"[('https://www.wikidata.org/wiki/Q291762', 4), ('https://www.wikidata.org/wiki/Q469760', 1), ('https://www.wikidata.org/wiki/Q2073514', 1), ('https://www.wikidata.org/wiki/Q156548', 10), ('https://www.wikidata.org/wiki/Q624513', 1), ('https://www.wikidata.org/wiki/Q271671', 1)]",https://www.wikidata.org/wiki/Q156548,"('Sophia', 100)"
