GeNeG_resource,Wikidata_resource_w_alias_len,Matching node,Wikidata_label
http://geneg.net/resource/Joachim_Herrman,"[('https://www.wikidata.org/wiki/Q1690169', 1), ('https://www.wikidata.org/wiki/Q1690165', 1)]",https://www.wikidata.org/wiki/Q1690169,Joachim_Herrmann
http://geneg.net/resource/GTZ,"[('https://www.wikidata.org/wiki/Q47759524', 1), ('https://www.wikidata.org/wiki/Q1414457', 1)]",https://www.wikidata.org/wiki/Q47759524,Götz
http://geneg.net/resource/Reinickendorfs,"[('https://www.wikidata.org/wiki/Q158876', 3), ('https://www.wikidata.org/wiki/Q694034', 1)]",https://www.wikidata.org/wiki/Q158876,Reinickendorf
http://geneg.net/resource/Sonnenalle,"[('https://www.wikidata.org/wiki/Q456397', 3), ('https://www.wikidata.org/wiki/Q540191', 1)]",https://www.wikidata.org/wiki/Q456397,Sonnenallee
http://geneg.net/resource/Maybritt_Illner,"[('https://www.wikidata.org/wiki/Q1914407', 3), ('https://www.wikidata.org/wiki/Q106548', 1)]",https://www.wikidata.org/wiki/Q1914407,Maybrit_Illner
http://geneg.net/resource/Alexander_Wendts,"[('https://www.wikidata.org/wiki/Q68578', 1), ('https://www.wikidata.org/wiki/Q25934735', 1)]",https://www.wikidata.org/wiki/Q68578,Alexander_Wendt
http://geneg.net/resource/Gehard_Schröder,"[('https://www.wikidata.org/wiki/Q2530', 4), ('https://www.wikidata.org/wiki/Q60781', 1)]",https://www.wikidata.org/wiki/Q2530,Gerhard_Schröder
http://geneg.net/resource/Krawinkels,"[('https://www.wikidata.org/wiki/Q50046757', 1), ('https://www.wikidata.org/wiki/Q1411279', 1)]",https://www.wikidata.org/wiki/Q50046757,Krawinkel
http://geneg.net/resource/Michael_Müllers,"[('https://www.wikidata.org/wiki/Q1928687', 3), ('https://www.wikidata.org/wiki/Q102844', 1)]",https://www.wikidata.org/wiki/Q1928687,Michael_Müller
http://geneg.net/resource/Haldenwangs,"[('https://www.wikidata.org/wiki/Q566563', 1), ('https://www.wikidata.org/wiki/Q504938', 1)]",https://www.wikidata.org/wiki/Q566563,Haldenwang
http://geneg.net/resource/Stephan_ernst,"[('https://www.wikidata.org/wiki/Q2343245', 1), ('https://www.wikidata.org/wiki/Q65734815', 1)]",https://www.wikidata.org/wiki/Q2343245,Stephan_Ernst
http://geneg.net/resource/Mare_nostrum,"[('https://www.wikidata.org/wiki/Q1922873', 1), ('https://www.wikidata.org/wiki/Q18089616', 1)]",https://www.wikidata.org/wiki/Q1922873,Mare_Nostrum
http://geneg.net/resource/Osterreich,"[('https://www.wikidata.org/wiki/Q298667', 1), ('https://www.wikidata.org/wiki/Q298652', 1), ('https://www.wikidata.org/wiki/Q40', 9)]",https://www.wikidata.org/wiki/Q40,Österreich
http://geneg.net/resource/Gerhard_Schröders,"[('https://www.wikidata.org/wiki/Q2530', 5), ('https://www.wikidata.org/wiki/Q60781', 1)]",https://www.wikidata.org/wiki/Q2530,Gerhard_Schröder
http://geneg.net/resource/Müller_Michael,"[('https://www.wikidata.org/wiki/Q1928687', 4), ('https://www.wikidata.org/wiki/Q102844', 1)]",https://www.wikidata.org/wiki/Q1928687,Michael_Müller
