GeNeG_resource,GeNeG_resource_aliases,Wikidata_resource,Wikidata_label,Wikidata_aliases
http://geneg.net/resource/HSD,{'HSD'},https://www.wikidata.org/wiki/Q21096224,Demokratische_Kräfte_Syriens,"{'Qiwaat Suriyya al-Dimoqratiyya', 'SDF', 'DKS', 'HSD', 'Syrian Democratic Forces', 'QSD', 'Qiwaat Suriyya al-Dimoqratiyya (QSD)'}"
http://geneg.net/resource/Fatou_Diatta,{'Fatou Diatta'},https://www.wikidata.org/wiki/Q2290354,Sister_Fa,"{'Fatou Mandiang Diatta', 'Fatou Diatta', 'Sister Fa'}"
http://geneg.net/resource/Kurdi,{'Kurdi'},https://www.wikidata.org/wiki/Q36368,Kurdische_Sprachen,"{'Kurdish languages', 'Kurdisch', 'Kurdi', 'Kurdish language', 'Kurdish', 'ku', 'Kurdish dialects'}"
http://geneg.net/resource/Delors,{'Delors'},https://www.wikidata.org/wiki/Q153425,Jacques_Delors,"{'Jacques Delors', 'Jacques Lucien Jean Delors', 'Delors'}"
http://geneg.net/resource/Dubliner_Abkommen,{'Dubliner Abkommen'},https://www.wikidata.org/wiki/Q910554,Dubliner_Übereinkommen,"{'Dubliner Übereinkommens', 'Dublin Regulation', 'Dubliner Abkommen', 'Dubliner Übereinkommen'}"
http://geneg.net/resource/Em,"{'em>', 'Em'}",https://www.wikidata.org/wiki/Q5608,Eminem,"{'Eminem', 'Shady', 'Marshall Bruce Mathers III', 'M&M', 'Marshall Mathers', 'Em', 'em>', 'Slim Shady', 'Slim', 'B-Rabbit', 'EMINƎM', 'Double M', 'King of all hip hop', 'King of Hip Hop'}"
http://geneg.net/resource/Evo_Morales_Ayma,{'Evo Morales Ayma'},https://www.wikidata.org/wiki/Q42410,Evo_Morales,"{'Evo Morales Ayma', 'Juan Evo Morales', 'Evo Morales', 'Juan Evo Morales Ayma', 'Juan Evo Morales Aima', 'Morales, Evo'}"
http://geneg.net/resource/Society,{'society'},https://www.wikidata.org/wiki/Q8425,Gesellschaft,"{'societies', 'Gesellschaft', 'society', 'Society'}"
http://geneg.net/resource/Sawija,{'Sawija'},https://www.wikidata.org/wiki/Q221503,Az-Zawiyya,"{'az-Zawiya', 'Zawia', 'Al Zawija', 'Al-Sawija', 'Az-Zawiya', 'Az Zawiyah', 'Sawija', 'Zawiya'}"
http://geneg.net/resource/Un-Mitgliedsstaat,{'UN-Mitgliedsstaat'},https://www.wikidata.org/wiki/Q160016,Mitgliedstaaten_Der_Vereinten_Nationen,"{'UN-Staaten', 'UN-Mitglieder', 'UN-Staat', 'Member Nations of the United Nations', 'UNO-Staaten', 'UN-Mitglied', 'member states of the United Nations', 'UNO-Mitgliedstaat', 'UN-Mitgliedstaaten', 'VN-Mitgliedstaat', 'UN-Mitgliedstaat', 'UNO-Mitglied', 'Mitgliedstaaten der UN', 'UN Membership', 'UNO-Mitglieder', 'UN-Mitgliedsstaaten', 'members of the United Nations', 'UN members', 'United Nations Member States', 'UNO-Mitgliedsstaaten', 'Members of the UN', 'Countries in the United Nations', 'UNO-Staat', 'UN-Mitgliedsstaat', 'United Nations members'}"
http://geneg.net/resource/Italiano,{'Italiano'},https://www.wikidata.org/wiki/Q652,Italienisch,"{'italienische Sprache', 'Italian', 'it', 'Italian language', 'Italienisch', 'Italiano'}"
http://geneg.net/resource/DHS,{'DHS'},https://www.wikidata.org/wiki/Q11231,Ministerium_Für_Innere_Sicherheit_Der_Vereinigten_Staaten,"{'Homeland Security Department', 'US Department of Homeland Security', 'Homeland Security', 'U.S. Department of Homeland Security', 'Heimatschutzministerium', 'United States Department of Homeland Security', 'USDHS', 'DHS', 'Department of Homeland Security', 'US-Heimatschutzministerium'}"
http://geneg.net/resource/Republic_of_South_Sudan,{'Republic of South Sudan'},https://www.wikidata.org/wiki/Q958,Südsudan,"{'Republik Südsudan', 'Südsudan', 'ss', 'SSD', 'Southern Sudan', 'Republic of South Sudan', 'South Sudan'}"
http://geneg.net/resource/Mecklenburger_Seenplatte,{'Mecklenburger Seenplatte'},https://www.wikidata.org/wiki/Q701658,Mecklenburgische_Seenplatte,"{'Mecklenburgischen Seenplatte', 'D04', 'Mecklenburgisch-Brandenburgische Seenplatte', 'Mecklenburg Lake District', 'Mecklenburger Seenplatte'}"
http://geneg.net/resource/Buhrow,{'Buhrow'},https://www.wikidata.org/wiki/Q108634,Tom_Buhrow,"{'Buhrow', 'Tom Buhrow', 'Thomas Buhrow'}"
http://geneg.net/resource/Nischel,{'Nischel'},https://www.wikidata.org/wiki/Q315569,Karl-Marx-Monument,"{'Karl-Marx-Kopf', 'Nischel', 'Karl Marx Monument', 'Karl-Marx-Monument'}"
http://geneg.net/resource/Amu,{'AMU'},https://www.wikidata.org/wiki/Q196544,Aligarh_Muslim_University,"{'Hochschule von Aligarh', 'Aligarh Muslim University', 'Muslimische Universität Aligarh', 'AMU'}"
http://geneg.net/resource/Maćków,{'Maćków'},https://www.wikidata.org/wiki/Q101439,Jerzy_Maćków,"{'Jerzy Maćków', 'Jerzy Mackow', 'Maćków'}"
http://geneg.net/resource/Bukele,{'Bukele'},https://www.wikidata.org/wiki/Q17712353,Nayib_Bukele,"{'Nayib', 'Nayib Bukele', 'Bukele Ortez', 'Bukele', 'Armando Bukele Ortez', 'Nayib Armando Bukele Ortez'}"
http://geneg.net/resource/Eu-Außenminister,"{'EU-Außenministern', 'EU-Außenminister'}",https://www.wikidata.org/wiki/Q634291,Hoher_Vertreter_Der_Europäischen_Union_Für_Außen-_Und_Sicherheitspolitik,"{'Foreign Minister of the EU', 'EU-Außenminister', 'EU-Außenministern', 'EU-Außenministerin', 'High Representative of the Union for Foreign Affairs and Security Policy', 'Hohe Vertreterin der Union für Außen- und Sicherheitspolitik', 'Hoher Vertreter der Union für Außen- und Sicherheitspolitik', 'Hoher Vertreter der EU für Außen- und Sicherheitspolitik', 'HV', 'Hohe Vertreterin der EU für Außen- und Sicherheitspolitik', 'Hohe Vertreterin der Europäischen Union für Außen- und Sicherheitspolitik', 'EU-Außenbeauftragte', 'EU-Außenbeauftragter'}"
http://geneg.net/resource/Eu-Außenministerin,{'EU-Außenministerin'},https://www.wikidata.org/wiki/Q634291,Hoher_Vertreter_Der_Europäischen_Union_Für_Außen-_Und_Sicherheitspolitik,"{'Foreign Minister of the EU', 'EU-Außenminister', 'EU-Außenministern', 'EU-Außenministerin', 'High Representative of the Union for Foreign Affairs and Security Policy', 'Hohe Vertreterin der Union für Außen- und Sicherheitspolitik', 'Hoher Vertreter der Union für Außen- und Sicherheitspolitik', 'Hoher Vertreter der EU für Außen- und Sicherheitspolitik', 'HV', 'Hohe Vertreterin der EU für Außen- und Sicherheitspolitik', 'Hohe Vertreterin der Europäischen Union für Außen- und Sicherheitspolitik', 'EU-Außenbeauftragte', 'EU-Außenbeauftragter'}"
http://geneg.net/resource/Raa,{'RAA'},https://www.wikidata.org/wiki/Q823635,Royal_Australian_Air_Force,"{'RAAF', 'Australiens', 'RAA'}"
http://geneg.net/resource/Shafak,{'Shafak'},https://www.wikidata.org/wiki/Q270739,Elif_Shafak,"{'Shafak', 'Elif Safak', 'Elif Shafak', 'Elif Şafak'}"
http://geneg.net/resource/Abdel_Fattah_Al-Sisi,{'Abdel Fattah al-Sisi'},https://www.wikidata.org/wiki/Q307871,Abd_Al-Fattah_as-Sisi,"{'Abdul Fatah Khalil Al-Sisi', 'Abd El-Fattah El-Sisi', 'Abd al-Fattah as-Sisi', 'Abd al-Fattah Said Husain Chalil as-Sisi', 'El Sisi', 'Al Sisi', 'Sisi', 'Abdel-Fattah el-Sissi', 'Abdul Fatah al-Sisi', 'General Sisi', 'as-Sisi', 'Abd al-Fatah al-Sisi', 'Abdel Fattah el-Sisi', 'Abdu l-Fattah as-Sisi', 'Abdul Fatah Saeed Khalil Al-Sisi', 'Abdul Fatah Khalil a-Sisi', 'Abdel Fattah al-Sisi', 'Abdel Fattah Al-Sisi', 'Abdel Fattah Saeed Hussein Khalil el-Sisi', 'Abdul Fatah Saeed Hussein Khalil Al-Sisi', 'Abdul Fattah al-Sisi', 'Abdu l-Fattah as-Sissi', 'Abd al-Fattah al-Sisi', 'Abdel Fatah al-Sisi'}"
http://geneg.net/resource/Halabja,{'Halabja'},https://www.wikidata.org/wiki/Q605544,Halabdscha,"{'Halabdscha', 'Helebje', 'Helebce', 'Halabja'}"
http://geneg.net/resource/Arabellion,{'Arabellion'},https://www.wikidata.org/wiki/Q33761,Arabischer_Frühling,"{'Arabellion', 'The Arabian Revolutions', 'Arabischer Frühling', 'Arab Spring', 'arabische Frühling'}"
http://geneg.net/resource/Maschadow,{'Maschadow'},https://www.wikidata.org/wiki/Q193354,Aslan_Alijewitsch_Maschadow,"{'Maschadow', 'Aslan Maschadow', 'Aslan Maskhadov', 'Alslan Maschadov', 'Aslan Aliyevich Maskhadov', 'Aslan Maschadov', 'Aslan Alijewitsch Mashadow'}"
http://geneg.net/resource/Ukraina,{'Ukraina'},https://www.wikidata.org/wiki/Q212,Ukraine,"{'Ukr.', 'UA', 'Ukraine', 'Ukrainia', 'ua', 'UKR', 'Ukraina'}"
http://geneg.net/resource/voltairenet.org,"{'voltairenet.org', 'Voltairenet.org'}",https://www.wikidata.org/wiki/Q2629867,Réseau_Voltaire,"{'Réseau Voltaire', 'Voltaire Network', 'Reseau Voltaire', 'voltairenet.org', 'Voltairenet.org'}"
http://geneg.net/resource/Anna_Von_Treuenfels,{'Anna von Treuenfels'},https://www.wikidata.org/wiki/Q558931,Anna-Elisabeth_Von_Treuenfels,"{'Anna-Elisabeth von Treuenfels-Frowein', 'Anna von Treuenfels'}"
http://geneg.net/resource/James_Addison_Baker,{'James Addison Baker'},https://www.wikidata.org/wiki/Q223151,James_Baker,"{'James A. Baker III', 'James Addison Baker', 'James Baker', 'James Addison Baker III'}"
http://geneg.net/resource/Lifbi,{'LIfBi'},https://www.wikidata.org/wiki/Q15825520,Leibniz-Institut_Für_Bildungsverläufe,"{'Leibniz-Institut für Bildungsverläufe e.V.', 'Leibniz Institute for Educational Trajectories', 'LIfBi', 'Leibniz-Institut für Bildungsverläufe'}"
