GeNeG_resource,Wikidata_resource,Matched_label
http://geneg.net/resource/Max,https://www.wikidata.org/wiki/Q268863,Max
http://geneg.net/resource/Christopher_Street,https://www.wikidata.org/wiki/Q1086990,Christopher_Street
http://geneg.net/resource/Regensburg,https://www.wikidata.org/wiki/Q2978,Regensburg
http://geneg.net/resource/Lampedusa,https://www.wikidata.org/wiki/Q107338,Lampedusa
http://geneg.net/resource/Citgo,https://www.wikidata.org/wiki/Q2974437,Citgo
http://geneg.net/resource/Europol,https://www.wikidata.org/wiki/Q207203,Europol
http://geneg.net/resource/Nizza,https://www.wikidata.org/wiki/Q33959,Nizza
http://geneg.net/resource/Mallorca,https://www.wikidata.org/wiki/Q8828,Mallorca
http://geneg.net/resource/Angela_Merkel,https://www.wikidata.org/wiki/Q567,Angela_Merkel
http://geneg.net/resource/Maybrit_Illner,https://www.wikidata.org/wiki/Q1914407,Maybrit_Illner
http://geneg.net/resource/Marie,https://www.wikidata.org/wiki/Q632104,Marie
http://geneg.net/resource/Zypern,https://www.wikidata.org/wiki/Q644636,Zypern
http://geneg.net/resource/Eduard_Schnitzer,https://www.wikidata.org/wiki/Q60271,Eduard_Schnitzer
http://geneg.net/resource/Slowakische_Nationalpartei,https://www.wikidata.org/wiki/Q221480,Slowakische_Nationalpartei
http://geneg.net/resource/Uruguay,https://www.wikidata.org/wiki/Q77,Uruguay
http://geneg.net/resource/Société_Nationale_Des_Chemins_De_Fer_Français,https://www.wikidata.org/wiki/Q13646,Société_Nationale_Des_Chemins_De_Fer_Français
http://geneg.net/resource/Berlin_Direkt,https://www.wikidata.org/wiki/Q15787831,Berlin_Direkt
http://geneg.net/resource/Athen,https://www.wikidata.org/wiki/Q1524,Athen
http://geneg.net/resource/Brüssel,https://www.wikidata.org/wiki/Q9005,Brüssel
http://geneg.net/resource/Hard,https://www.wikidata.org/wiki/Q699612,Hard
http://geneg.net/resource/Wodarg,https://www.wikidata.org/wiki/Q76391058,Wodarg
http://geneg.net/resource/Niederlande,https://www.wikidata.org/wiki/Q55,Niederlande
http://geneg.net/resource/Albrecht_Von_Lucke,https://www.wikidata.org/wiki/Q2640050,Albrecht_Von_Lucke
http://geneg.net/resource/The_World_to_Come,https://www.wikidata.org/wiki/Q69904051,The_World_to_Come
http://geneg.net/resource/Gunter_Czisch,https://www.wikidata.org/wiki/Q20770017,Gunter_Czisch
http://geneg.net/resource/Chile,https://www.wikidata.org/wiki/Q298,Chile
http://geneg.net/resource/Neue_Deutsche_Medienmacher,https://www.wikidata.org/wiki/Q1591450,Neue_Deutsche_Medienmacher
http://geneg.net/resource/Pamela_Anderson,https://www.wikidata.org/wiki/Q83325,Pamela_Anderson
http://geneg.net/resource/France_24,https://www.wikidata.org/wiki/Q166180,France_24
http://geneg.net/resource/Xi_Jinping,https://www.wikidata.org/wiki/Q15031,Xi_Jinping
http://geneg.net/resource/Acre,https://www.wikidata.org/wiki/Q81292,Acre
